"Titular";"id";"V1";"evidence_V1";"V2";"evidence_V2";"V3";"evidence_V3";"V4";"evidence_V4"
"Duro relato de Morientes sobre la riada de la DANA: \"Un familiar de mi mejor amigo llamó a su mujer para despedirse\"";133;0;"Absence";0;"Absence";1;"Expresion: llam\w a(?: \S+){1,6} para despedirse";0;"Absence"
"Mestalla, con un nudo en la garganta";135;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"¡Así luce la casa de los Lewandowski tras la DANA en Barcelona!";146;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La DANA de Valencia registró precipitaciones máximas de 700 l/m2 en sólo 12 horas en Turís";152;1;"Patron: precipitacion\w* + maxim\w*";0;"Absence";0;"Absence";0;"Absence"
"Devastación y muerte en Valencia";165;1;"Token: devast\w*";0;"Absence";0;"Absence";0;"Absence"
"La AEMET alerta de lluvias que pueden ser torrecianles con la llegada de la nueva DANA";166;0;"Absence";0;"Absence";0;"Absence";1;"Patron: alerta\w* + dana\w*"
"Las impactantes imágenes de la boca del metro en Valencia totalmente inundada: \"Pasa con submarino\"";167;1;"Token: impact\w*";0;"Absence";0;"Absence";0;"Absence"
"La crítica situación de un refugio en Valencia con el paso de la DANA: “Nos desalojaban a nosotras pero a los perros no y de aquí no nos movemos”";173;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Valencia y varios municipios de la Comunidad suspende las clases este miércoles ante la nueva DANA";176;0;"Absence";1;"Patron: suspend\w* + clase\w*";0;"Absence";1;"Patron: nuev\w* + dana\w*"
"¿Actuaron con lentitud los servicios de Emergencias y Protección civil valencianos?";180;0;"Absence";0;"Absence";1;"Patron: con lentitud + emergencia\w*";0;"Absence"
"Así debes vestirte si quieres ayudar a los afectados por la DANA en Valencia y no poner en riesgo tu salud";181;0;"Absence";0;"Absence";1;"Patron: \bno\b + ayuda\w*";1;"Token: afectad\w*"
"\"¡Viene agua, daos la vuelta!\": cómo salvaron la vida los conductores atrapados en la carretera";186;0;"Absence";1;"Patron: atrapad\w* + carretera\w*";1;"Token: atrapad\w*";0;"Absence"
"El vídeoque una joven envía a su familiia tras el paso de la DANA en Valencia";187;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"DANA en España, última hora en directo: El número de fallecidos se eleva a 202 personas";195;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Paiporta, el epicentro de la tragedia de la DANA: un pueblo devastado e incomunicado con 40 muertos y desaparecidos";203;1;"Token: devast\w*";1;"Patron: incomunic\w* + pueblo\w*";1;"Token: desaparecid\w*";0;"Absence"
"Última hora de la Dana en Valencia y España, en directo | Preocupación por el parking anegado del centro comercial de Bonaire \"el más grande de Europa\" donde se teme que pueda haber numerosas víctimas";205;1;"Patron: dana + mas grande";1;"Patron: anegad\w* + parking\w*";0;"Absence";1;"Patron: se teme + victim\w*"
"DANA, última hora en Valencia y Andalucía en directo | Mazón: \"Si no consigo liderar la recuperación asumiré mi responsabilidad no optando a la reelección\"";208;0;"Absence";0;"Absence";1;"Token: mazon";1;"Token: responsabilidad\w*"
"Última hora de la DANA hoy en Valencia y resto de España, en directo | La Delegada del Gobierno, sobre la cifra de muertos: \"En la superficie no hay más cuerpos\"";210;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Apocalipsis en Valencia bajo la DANA más devastadora del siglo: 92 muertos y todas las alertas sobrepasadas";219;1;"Token: apocalipsis";0;"Absence";1;"Expresion: alertas sobrepasadas";1;"Patron: alerta\w* + muert\w*"
"El milagro bajo el diluvio de Forata, la presa que frenó 37.000 millones de litros de agua";231;1;"Token: diluvio";0;"Absence";0;"Absence";0;"Absence"
"La DANA da sus últimos coletazos aunque las lluvias seguirán durante la semana";232;0;"Absence";0;"Absence";0;"Absence";1;"Token: seguir\w*"
"Aemet eleva a nivel rojo el aviso en Valencia por lluvias de hasta 180 l/m2 en sólo cuatro o cinco horas";234;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Doce horas clave y un cúmulo de errores: así transcurrió el día de la tragedia provocada por la DANA en Valencia";258;1;"Token: tragedia";0;"Absence";1;"Expresion: cumulo de errores";1;"Token: provoc\w*"
"Las impactantes imágenes que deja la DANA en España";264;1;"Token: impact\w*";0;"Absence";0;"Absence";0;"Absence"
"El 72% de españoles señalan a la Generalitat como responsable de la alerta por la DANA, el 53% al Gobierno y el 20% a la AEMET";265;0;"Absence";0;"Absence";1;"Token: responsabl\w*";1;"Patron: alerta\w* + dana\w*"
"Las impactantes imágenes desde el cielo del antes y el después de la DANA en Valencia";268;1;"Token: impact\w*";0;"Absence";0;"Absence";0;"Absence"
"Las infecciones que acechan tras la DANA: precauciones y síntomas a tener en cuenta";271;0;"Absence";0;"Absence";0;"Absence";1;"Patron: acech\w* + infecciones"
"Desolación e incertidumbre entre los alcaldes de los pueblos de Valencia afectados por la DANA: \"Nunca recuperaremos la normalidad\"";274;0;"Absence";0;"Absence";0;"Absence";1;"Expresion: nunca recuperaremos la normalidad"
"La DANA del siglo arrasa l’Horta Sud y deja ya un centenar de muertos y cientos de atrapados en Valencia";278;1;"Patron: dana + siglo";1;"Patron: atrapad\w* + valencia";1;"Token: atrapad\w*";0;"Absence"
"La DANA inunda dos residencias de ancianos en Massanassa y Guadassuar, al sur de Valencia, sin causar \"ningún fallecimiento\"";284;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La mitad de las víctimas mortales de la DANA en Valencia tenían más de 70 años y hay fallecidos de 12 nacionalidades";295;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Valencia reabre parcialmente las aulas tras la DANA pero quedan \"muchas dudas\" sobre el transporte, el comedor o las ratios";298;0;"Absence";1;"Patron: dud\w* + transporte\w*";0;"Absence";1;"Patron: dud\w* + dana\w*"
"The Times cifra en 400 las víctimas mortales por la tragedia de Valencia";319;1;"Token: tragedia";0;"Absence";0;"Absence";0;"Absence"
"Última hora de la DANA, en directo: inundaciones en Málaga y alertas de la AEMET en Valencia";323;0;"Absence";1;"Token: inundaciones";0;"Absence";1;"Patron: alerta\w* + inundaciones"
"Las muertes de la DANA cuando el agua se ha ido";325;0;"Absence";0;"Absence";0;"Absence";1;"Expresion: cuando el agua se ha ido"
"En la zona cero de la DANA en Chiva: «No sabemos si podremos volver a nuestra casa»";337;1;"Expresion: zona cero";0;"Absence";0;"Absence";1;"Expresion: no sabemos si podremos volver"
"Comunicado de última hora de Máxima de Holanda tras el devastador paso de la DANA por Valencia";343;1;"Token: devast\w*";0;"Absence";0;"Absence";0;"Absence"
"Cargas policiales en la manifestación por la DANA en Valencia: un grupo de violentos quema la puerta del Ayuntamiento de Valencia";352;0;"Absence";1;"Expresion: grupo de violent\w*";1;"Expresion: cargas policiales";0;"Absence"
"Muere un futbolista de 28 años a consecuencia de la DANA";358;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"El Centro de Inundaciones de Google que las pronostica 5 días antes de que sucedan";359;0;"Absence";1;"Token: inundaciones";0;"Absence";0;"Absence"
"Directo: Evacuan agua de los embalses de María Cristina y Ulldecona";363;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Nieve en Castellón: La DANA tiñe de blanco algunos municipios de la provincia";373;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Una nueva vida en Benicàssim después de perder sus casas por la DANA";387;0;"Absence";0;"Absence";0;"Absence";1;"Patron: nuev\w* + dana\w*"
"Minutos de silencio por la víctimas de la DANA en Valencia";399;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Hallan el cádaver de un niño de cinco años en Loriguilla al que arrastró la DANA";400;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Cronología | Una semana que ha cambiado la historia de Valencia";407;1;"Expresion: ha cambiado la historia";0;"Absence";0;"Absence";0;"Absence"
"Los vídeos de los efectos de la DANA en Valencia: de rescates dramáticos a pueblos inundados";421;1;"Token: dramatic\w*";0;"Absence";0;"Absence";0;"Absence"
"Una noche dura y triste: centenares de atrapados y pérdidas humanas confirmadas a causa de la DANA";425;0;"Absence";1;"Patron: atrapad\w* + centenares";1;"Token: atrapad\w*";0;"Absence"
"DIRECTO | Última hora de la DANA en Valencia";429;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"DIRECTO | Última hora de la DANA en la Comunitat";438;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Inundaciones y daños por la DANA en la provincia de Valencia: \"Esto es una locura\"";439;1;"Token: locura";1;"Token: inundaciones";0;"Absence";0;"Absence"
"La catástrofe que cambió el rumbo de la ciudad";446;1;"Token: catastrof\w*";0;"Absence";0;"Absence";0;"Absence"
"DIRECTO | Última hora de la DANA en Valencia";449;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Caos y devastación absoluta";452;1;"Token: devast\w*";1;"Token: caos";0;"Absence";0;"Absence"
"La Aemet alerta de la llegada de nuevas lluvias \"muy fuertes o torrenciales\" a Valencia";457;0;"Absence";0;"Absence";0;"Absence";1;"Patron: alerta\w* + lluvias"
"Dana, viento y mar cálido: la tormenta perfecta";460;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La AEMET mantiene el riesgo de la nueva dana y advierte que lo peor está por llegar";462;1;"Patron: dana + peor";0;"Absence";0;"Absence";1;"Expresion: lo peor esta por llegar"
"Las lluvias torrenciales acumulan 435,8 litros por metro cuadrado en Chiva";467;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Las imágenes por satélite muestran el brutal impacto de la catastrófica riada";470;1;"Expresion: brutal impacto";0;"Absence";0;"Absence";0;"Absence"
"Cartografía de una riada (y 3): Los tres frentes del desastre en el interior valenciano";475;1;"Token: desastre";0;"Absence";0;"Absence";0;"Absence"
"Catorce horas: anatomía de una crisis";481;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Emergencias recomienda suspender clases y optar por el teletrabajo";482;0;"Absence";1;"Patron: suspend\w* + clase\w*";0;"Absence";0;"Absence"
"La peor catástrofe meteorológica ya deja más de 100 muertos y decenas de desaparecidos";485;1;"Token: catastrof\w*";0;"Absence";1;"Token: desaparecid\w*";0;"Absence"
"Alcaldesa de Rafelguaraf: \"Los más mayores dicen que nunca habían visto desbordarse el Barranco de Barxeta tres veces en un día\"";490;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Un pluviómetro ubicado en Turís marcó un máximo de 784 litros en 24 horas";491;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La última media hora de angustia en la \"ratonera mortal\" del garaje de La Torre";492;1;"Token: ratonera";0;"Absence";0;"Absence";0;"Absence"
"Así gestionó Polonia su DANA: \"dos días antes los pueblos estaban evacuados\"";496;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La cifra de fallecidos asciende a 221 tras la Dana y los desaparecidos bajan a 7";503;0;"Absence";0;"Absence";1;"Token: desaparecid\w*";0;"Absence"
"La Peregrina de Valencia visitará los barrios de Torrent afectados por la DANA el 29 de 11";508;0;"Absence";0;"Absence";0;"Absence";1;"Token: afectad\w*"
"Torrent remite a la Generalitat el callejero de zonas afectadas para agilizar la tramitación de ayudas";509;0;"Absence";0;"Absence";0;"Absence";1;"Token: afectad\w*"
"Actualización de servicios de transporte público sustitutivo en el área metropolitana de Valencia";525;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Aigües de l’Horta garantiza la potabilidad del agua en la ciudad de Torrent";527;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"30 días, 30 cifras de la Dana de Valencia";532;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Imágenes inéditas de cómo irrumpió la DANA en Aldaya sin apenas llover";534;1;"Token: inedit\w*";0;"Absence";0;"Absence";0;"Absence"
"Última Hora de la DANA en directo | Descienden a 23 las personas desaparecidas en Valencia";535;0;"Absence";0;"Absence";1;"Token: desaparecid\w*";0;"Absence"
"El mapa de la tragedia: estos son los puntos más afectados por el paso de la DANA";538;1;"Token: tragedia";0;"Absence";0;"Absence";1;"Token: afectad\w*"
"La Cruz Roja se vuelca con Valencia tras la DANA: así distribuyen materiales y alimentos y prestan atención sanitaria";540;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Al menos 95 muertos en España tras la peor DANA del siglo";550;1;"Patron: dana + siglo";0;"Absence";0;"Absence";0;"Absence"
"Roberto Brasero explica cómo será la nueva DANA: \"Vamos a tener lluvias abundantes con fuertes tormentas\"";558;0;"Absence";0;"Absence";0;"Absence";1;"Patron: nuev\w* + tormentas"
"Última hora de la DANA en directo: manifestación multitudinaria en Valencia y cargas policiales";559;0;"Absence";0;"Absence";1;"Expresion: cargas policiales";0;"Absence"
"Interior responsabiliza al gobierno de la Comunidad Valenciana de que no se alertara antes de la DANA";563;0;"Absence";0;"Absence";0;"Absence";1;"Patron: alerta\w* + dana\w*"
"El garaje de los horrores de La Torre (Valencia) deja 7 muertos: bajaron a por su coche y el agua les arrasó";565;1;"Expresion: garaje de los horrores";0;"Absence";0;"Absence";0;"Absence"
"Cortes de carreteras en Valencia y Cuenca por las fuertes lluvias de las últimas horas: consulta las vías afectadas por la DANA";567;0;"Absence";1;"Patron: cort\w* + carretera\w*";0;"Absence";1;"Token: afectad\w*"
"Solo 128 de los más de 17.000 millones aprobados en ayudas han llegado ya al lodo de Valencia";570;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Valencia recibe la ayuda de Francia, Portugal y Marruecos por los estragos de la DANA";571;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Valencia, incomunicada por la DANA: trenes cancelados, carreteras cortadas y el puerto cerrado";575;0;"Absence";1;"Patron: incomunic\w* + carretera\w*";1;"Token: incomunic\w*";0;"Absence"
"Las nuevas imágenes de rescates 'in extremis' tras el paso de la DANA por Valencia";577;1;"Patron: dana + extrem\w*";0;"Absence";0;"Absence";1;"Patron: nuev\w* + dana\w*"
"La AEMET reiteró en varias ocasiones del peligro de la DANA en Valencia: avisó hasta con cinco días de antelación";586;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Joanna Ivars explica por qué la DANA ha adquirido este nivel de devastación: \"Es la peor gota fría del siglo XXI\"";600;1;"Token: devast\w*";0;"Absence";0;"Absence";0;"Absence"
"La DANA se ceba con Castellón y Tarragona con graves inundaciones y se acerca a Aragón";601;0;"Absence";1;"Token: inundaciones";0;"Absence";1;"Patron: se acerca a + inundaciones"
"Los afectados por la DANA de Valencia podrán recuperar el dinero efectivo que perdieron";608;0;"Absence";0;"Absence";0;"Absence";1;"Token: afectad\w*"
"El Ejército, recibido entre aplausos a su llegada a las zonas afectadas por la DANA en Valencia";609;0;"Absence";0;"Absence";0;"Absence";1;"Token: afectad\w*"
"Cacho, sobre la DANA en Valencia: \"El primer aviso rojo de la AEMET se aplicó a las 7:30 y la alerta llegó a las 20h\"";610;0;"Absence";0;"Absence";0;"Absence";1;"Patron: alerta\w* + dana\w*"
"Los reyes volverán a las zonas de Valencia afectadas por la DANA la próxima semana: \"Somos conscientes de que cada uno tenemos que estar en nuestro sitio\"";614;0;"Absence";0;"Absence";0;"Absence";1;"Token: afectad\w*"
"Cómo ayudar a los afectados por la DANA: estos son los centros de recogida de ayuda habilitados";617;0;"Absence";0;"Absence";1;"Expresion: centros de recogida";1;"Token: afectad\w*"
"Así es el importante trabajo de la Cruz Roja tras la DANA de Valencia: ya llevan casi 190.000 asistencias desde el inicio de la tragedia";622;1;"Token: tragedia";0;"Absence";0;"Absence";0;"Absence"
"Cronología de la DANA del 29 de 10, día negro en la historia de Valencia: de las primeras lluvias en Utiel a la alerta de las 20:12";629;1;"Expresion: dia negro";0;"Absence";0;"Absence";1;"Patron: alerta\w* + dana\w*"
"DANA en Valencia | Lydia Cruz, de Informativos Telecinco, atrapada en la A-3: “Esto es una ratonera, no podemos salir”";635;1;"Token: ratonera";1;"Patron: atrapad\w* + valencia";1;"Token: atrapad\w*";0;"Absence"
"¿Qué motivó el cambio del término 'gota fría' a 'DANA' en los temporales?";658;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Rosalía acude a Valencia a ayudar a los afectados por la DANA: la cantante colabora con el chef José Andrés";667;0;"Absence";0;"Absence";1;"Expresion: acude a valencia";1;"Token: afectad\w*"
"El dueño de Deliplus y Bosque Verde y el de la marca Luanvi, así como otros dos empresarios, entre los desaparecidos en Valencia por la DANA";671;0;"Absence";0;"Absence";1;"Token: desaparecid\w*";0;"Absence"
"La historia de Neizan y Nizan, los niños de Valencia que se han hecho virales: \"Nunca os rindáis y ayudad a vuestros padres, abuelos...\"";673;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La UME asegura que se activó en Valencia a las 15.41 del día 29, \"horas antes de recibir órdenes oficiales\" y muestra las imágenes";674;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Última hora de la DANA en España | Se mantienen en 219 los fallecidos en Valencia y bajan a ocho los desaparecidos";675;0;"Absence";0;"Absence";1;"Token: desaparecid\w*";0;"Absence"
"Un milagro en plena tragedia de la DANA: rescatan a una mujer tras pasar tres días en el interior de su coche en Valencia";676;1;"Token: tragedia";0;"Absence";0;"Absence";0;"Absence"
"La DANA más extrema del siglo en España: ¿cómo y por qué se ha formado?";679;1;"Patron: dana + extrem\w*";0;"Absence";0;"Absence";1;"Patron: dana mas + dana\w*"
"Francisco J. Tapiador, sobre la DANA de Valencia: “Esta desgracia puede volver a suceder el año que viene”";694;0;"Absence";0;"Absence";0;"Absence";1;"Patron: puede volver + desgracia"
"La DANA se cobra la primera víctima en la Comunidad Valenciana: varios desaparecidos y un AVE descarriado";699;0;"Absence";1;"Patron: descarriad\w* + ave";1;"Token: desaparecid\w*";1;"Expresion: se cobra la primera victima"
"Polémica por la limpieza de los cauces de los ríos: la Generalitat asegura que la CHJ les impidió realizarla";703;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Javier e Inga, víctimas del incendio de Campanar y de la DANA en Valencia: \"Ha sido un año horrible\"";713;1;"Expresion: ano horrible";0;"Absence";0;"Absence";0;"Absence"
"¿Cómo sustituir 128.000 vehículos afectados por la DANA?: se espera una demanda sin precedentes en el sector";717;1;"Expresion: sin precedentes";1;"Expresion: demanda sin precedentes";0;"Absence";1;"Token: afectad\w*"
"Milagro tras la DANA: rescatan a una mujer después de tres días atrapada en un coche en Benetússer, Valencia";723;1;"Token: milagro";1;"Patron: atrapad\w* + valencia";1;"Token: atrapad\w*";0;"Absence"
"Encuentran los cuerpos de Rubén e Izan, los niños desaparecidos en Torrent por la DANA";737;0;"Absence";0;"Absence";1;"Token: desaparecid\w*";0;"Absence"
"La petición de una madre de Paiporta: “No hagan pasar a los niños por más traumas”";739;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Las imágenes más impactantes de la DANA en la Comunidad Valenciana: \"Está en peligro\"";744;1;"Token: impact\w*";0;"Absence";0;"Absence";1;"Expresion: esta en peligro"
"Paula se subió en un árbol para que la riada por la DANA en Valencia no la ahogara: \"El agua nos llegaba por el cuello\"";747;0;"Absence";0;"Absence";1;"Expresion: por el cuello";0;"Absence"
"El heroico rescate de una mujer en silla de ruedas en un pueblo de Valencia afectado por la DANA: \"El agua por el cuello\"";749;0;"Absence";0;"Absence";1;"Expresion: por el cuello";1;"Token: afectad\w*"
"El detalle de Manolo Lama con unos niños valencianos víctimas de la DANA: \"Les has hecho felices unos minutos\"";750;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Mazón, en COPE: \"La UME fue activada el mismo martes, antes de la revolución meteorológica\"";754;1;"Expresion: revolucion meteorologica";0;"Absence";1;"Token: mazon";0;"Absence"
"Restringen el acceso de voluntarios a 11 municipios de Valencia afectados por la DANA ante el aviso amarillo por lluvias este domingo";757;0;"Absence";1;"Patron: restring\w* + voluntar\w*";0;"Absence";1;"Token: afectad\w*"
"¿Está Euskadi preparada para una DANA como la de Valencia?";766;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La reacción de unos militares que deja sin palabras a Lidia, una joven de Valencia que ha perdido su panadería en Paiporta: \"Es muy fuerte\"";768;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"\"Es apocalíptico\": el vídeo de la Policía Nacional con las vistas aéreas de los efectos de la DANA en Valencia";788;1;"Token: apocalipt\w*";0;"Absence";0;"Absence";0;"Absence"
"Las impactantes imágenes de un satélite que muestran el antes y el después del paso de la DANA por Valencia";798;1;"Token: impact\w*";0;"Absence";0;"Absence";0;"Absence"
"La DANA, más allá de la tragedia: \"Cuando te pasan estas cosas valoras la importancia de los tuyos\"";799;1;"Token: tragedia";0;"Absence";0;"Absence";0;"Absence"
"La DANA que afecta a la Comunitat Valenciana obliga a cerrar carreteras por inundaciones en la provincia de Valencia";807;0;"Absence";1;"Token: inundaciones";0;"Absence";0;"Absence"
"Un caudal 5 veces superior al Ebro golpeó la 'zona cero' de la DANA de Valencia";814;1;"Expresion: zona cero";0;"Absence";0;"Absence";0;"Absence"
"Cuándo termina la nueva DANA por lluvias torrenciales: alerta roja en Málaga, Valencia y Tarragona";816;0;"Absence";0;"Absence";0;"Absence";1;"Expresion: alerta roja"
"Monólogo de Alsina: \"Cien vidas segadas\"";827;1;"Expresion: vidas segadas";0;"Absence";0;"Absence";0;"Absence"
"Cronología de una alerta roja por la DANA que acabó en tragedia: 55 minutos de retraso que pudieron salvar vidas";828;1;"Token: tragedia";0;"Absence";1;"Token: retraso";1;"Expresion: alerta roja"
"Así han sido las labores de rescate por la DANA este 30 de 10: al menos 95 muertos, casi todas en Valencia";830;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La DANA genera caos y tragedia: Mazón confirma fallecidos y la crecida de ríos y barrancos anega e incomunica la provincia de Valencia";832;1;"Token: tragedia";1;"Token: caos";1;"Token: incomunic\w*";0;"Absence"
"La DANA se salda, de momento, con 92 fallecidos y decenas de desaparecidos en la Comunitat Valenciana";835;0;"Absence";0;"Absence";1;"Token: desaparecid\w*";1;"Expresion: de momento"
"El mapa de la devastación en Valencia: los enviados especiales de la SER relatan cómo se encuentran las zonas más afectadas por la DANA";837;1;"Token: devast\w*";0;"Absence";0;"Absence";1;"Token: afectad\w*"
"Las redes sociales y la DANA, el caldo de cultivo de la desinformación y los bulos";847;0;"Absence";0;"Absence";1;"Token: desinformacion";0;"Absence"
"Las consecuencias de la DANA, en imágenes";851;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"DANA en España hoy, última hora en directo: el ministro Grande-Marlaska eleva a 219 el número de fallecidos";858;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La hora de la alerta del día de la DANA convertida, un mes después, en señal de repulsa a la gestión a Mazón";862;0;"Absence";0;"Absence";1;"Token: mazon";1;"Patron: alerta\w* + dana\w*"
"La dana en Valencia dejó un nuevo récord histórico de lluvia en España: 184,6 litros en una hora";878;1;"Token: historic\w*";0;"Absence";0;"Absence";1;"Patron: nuev\w* + dana\w*"
"Cómo fue el minuto a minuto de la gestión de la dana en Valencia del 29 de 10";883;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"El radar de la AEMET en Valencia funcionó durante la dana";884;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Datos y cifras sobre las consecuencias de la dana";886;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La Aemet da por finalizada la crisis meteorológica tras el paso de la dana por Valencia";892;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La devastación de la dana deja decenas de muertos en Valencia e imágenes desoladoras";893;1;"Token: devast\w*";0;"Absence";0;"Absence";0;"Absence"
"La devastación de la dana deja 70 muertos en Valencia de momento e imágenes desoladoras";898;1;"Token: devast\w*";0;"Absence";0;"Absence";1;"Expresion: de momento"
"La A-7 en Valencia sigue afectada por la dana, que aún mantiene cortadas 52 carreteras";905;0;"Absence";1;"Patron: cort\w* + carretera\w*";0;"Absence";1;"Token: afectad\w*"
"La Generalitat Valenciana activa el procedimiento de múltiples víctimas por la dana";907;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Guardia Civil, bomberos y la UME siguen peinando la Albufera y las playas en busca de víctimas";921;0;"Absence";0;"Absence";0;"Absence";1;"Patron: siguen + victim\w*"
"Meteorólogos niegan falta de previsión de lluvias en Valencia: \"Las DANAs son difíciles de pronosticar\"";931;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Emergencias eleva a roja la alerta por lluvias en todo el litoral e interior norte de Valencia";937;0;"Absence";0;"Absence";0;"Absence";1;"Patron: alerta\w* + emergenc\w*"
"Entran en vigor los tres días de luto nacional por la DANA";944;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"En las riadas daña más el barro que el agua y los materiales arrastrados aumentan la destrucción, según CSIC";954;0;"Absence";0;"Absence";0;"Absence";1;"Patron: dana mas + dana\w*"
"Plataforma del Voluntariado ensalza la labor de los miles de voluntarios tras la DANA: \"Impresionante\"";960;0;"Absence";0;"Absence";1;"Expresion: miles de voluntarios";0;"Absence"
"La Generalitat lanza una nueva alerta móvil en el litoral sur de Valencia para avisar de las lluvias";962;0;"Absence";0;"Absence";0;"Absence";1;"Patron: alerta\w* + lluvias"
"Expertos ven difícil achacar responsabilidad penal a los políticos por su respuesta a la DANA";968;0;"Absence";0;"Absence";0;"Absence";1;"Token: responsabilidad\w*"
"Buscan a siete desaparecidos, seis en Letur (Albacete) y uno en L'Alcúdia (Valencia), por la DANA";969;0;"Absence";0;"Absence";1;"Token: desaparecid\w*";0;"Absence"
"Resumen de la DANA en el Mediterráneo del 6 de noviembre de 2024: 219 muertos en Valencia, Castilla-La Mancha y Andalucía";1002;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Catástrofe medioambiental en la Albufera: \"¿Vamos a estar 50 años comiendo arroz intoxicado?\"";1004;1;"Token: catastrof\w*";0;"Absence";0;"Absence";1;"Expresion: catastrofe medioambiental"
